#,Full Name,FullTeamName,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,clean_name,ADP
24,Kayla Jones,Loyola Marymount Lions,lmu,F,6-0,Jr.,"Norman, OK",Grayson College,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Kayla_Jones.jpg?width=80&quality=90,kayla jones,13
28,Andjela Matic,Loyola Marymount Lions,lmu,G,5-9,Sr.,"Ub, Serbia",Duquesne,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Andjela_Matic.jpg?width=80&quality=90,andjela matic,63
30,Paula Reus Piza,Loyola Marymount Lions,lmu,F,6-1,Gr.,"Palma De Mallorca, Spain",New Mexico,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Paula_Reus_Piza.jpg?width=80&quality=90,paula reus piza,160
54,Zawadi Ogot,Loyola Marymount Lions,lmu,G,5-11,So.,"Upland, CA",,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Zawadi_Ogot.jpg?width=80&quality=90,zawadi ogot,12
55,Maya Hernandez,Loyola Marymount Lions,lmu,F,6-0,Jr.,"San Jose, CA",,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Maya_Hernandez.jpg?width=80&quality=90,maya hernandez,74
2,Aniya Hooker,Santa Clara Broncos,santa clara,G,5-8,So.,"Lynnwood, WA",,https://santaclarabroncos.com/images/2025/9/18/hooker_aniyaDJR13246.JPG?width=80&quality=90,aniya hooker,53
3,Kate Schat,Santa Clara Broncos,santa clara,G,5-9,Fr.,"Redwood Valley, CA",,https://santaclarabroncos.com/images/2025/9/18/schat_katieDJR13224.JPG?width=80&quality=90,kate schat,132
4,Maddy Warberg,Santa Clara Broncos,santa clara,G,5-11,Fr.,"Eugene, OR",,https://santaclarabroncos.com/images/2025/9/18/warberg_maddyDJR13195.JPG?width=80&quality=90,maddy warberg,5
5,Sara Schmerbach,Santa Clara Broncos,santa clara,G,5-11,Fr.,"South Medford, OR",,https://santaclarabroncos.com/images/2025/9/18/schimerbach_saraDJR13228.JPG?width=80&quality=90,sara schmerbach,25
6,Sienna Grieger,Santa Clara Broncos,santa clara,G,5-9,Fr.,"West Adelaide, Australia",,https://santaclarabroncos.com/images/2025/9/18/grieger_siennaDJR13186.JPG?width=80&quality=90,sienna grieger,1
