fullName,jerseyNum,height,position,classYr,teamMarketTo,conferenceShortNameTo,teamMarketFrom,conferenceShortNameFrom,mins,ptsScored,ast,reb,stl,blk,ptsScoredPg,astPg,rebPg,stlPg,blkPg
Mikaela Parris,,,,,Mount St. Mary's,MAAC,Mississippi Val.,SWAC,,,,,,,,,,,
Hilke Feldrappe,,,,,Columbia,Ivy League,Missouri,SEC,,,,,,,,,,,
Londyn Oliphant,2.0,66.0,G,Freshman,UIW,Southland,Missouri,SEC,29.74,11.0,5.0,4.0,0.0,0.0,1.83333,0.83333,0.66667,0.0,0.0
Lucija Milkovic,7.0,78.0,F,Sophomore,Seattle U,WAC,Missouri,SEC,15.78,3.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0
Makennah White,,,,,VCU,A10,Missouri St.,MVC,313.55,76.0,12.0,77.0,11.0,2.0,3.04,0.48,3.08,0.44,0.08
D'Yanna Maxey,0.0,67.0,G,Junior,ULM,Sun Belt,Mississippi Val.,SWAC,834.62,336.0,67.0,118.0,45.0,1.0,10.83871,2.16129,3.80645,1.45161,0.03226
Ashton Judd,24.0,72.0,G,Junior,Texas,SEC,Missouri,SEC,875.9,371.0,53.0,159.0,32.0,9.0,11.59375,1.65625,4.96875,1.0,0.28125
Dayshawna Carter,8.0,67.0,G,Junior,UMES,MEAC,Monmouth,CAA,104.95,35.0,4.0,11.0,2.0,1.0,5.0,0.57143,1.57143,0.28571,0.14286
Clemisha Prackett,15.0,73.0,F,Sophomore,Indiana St.,MVC,Mississippi Val.,SWAC,397.02,143.0,7.0,121.0,15.0,25.0,8.9375,0.4375,7.5625,0.9375,1.5625
Marah Dykstra,,,,,Michigan St.,Big Ten,Montana St.,Big Sky,,,,,,,,,,,
Tilda Sjökvist,,,,,Towson,CAA,Missouri,SEC,,,,,,,,,,,
